source_company,target_company,c_news
Bank of China Ltd,China Zheshang Bank Co Ltd,2
DBS Group Holdings Ltd,Lenovo Group Ltd,2
Cimb Group Holdings Bhd,Anabatic Technologies Tbk PT,2
United Overseas Bank Ltd,Bank of Queensland Ltd,2
Oversea-Chinese Banking Corporation Ltd,Suncorp Group Ltd,2
Oversea-Chinese Banking Corporation Ltd,Bank of Queensland Ltd,2
United Overseas Bank Ltd,Chong Hing Bank Ltd,2
Oversea-Chinese Banking Corporation Ltd,Natixis SA,2
Malayan Banking Bhd,Natixis SA,2
DBS Group Holdings Ltd,Natixis SA,2
Bank of China Ltd,China Merchants Bank Co Ltd,2
DBS Group Holdings Ltd,Bank of Queensland Ltd,2
United Overseas Bank Ltd,CTBC Bank Co Ltd,2
Bank of China Ltd,Eni SpA,2
Malayan Banking Bhd,Zhejiang Ant Small & Micro Financial Service Goup Co Ltd,2
Cimb Group Holdings Bhd,Acset Indonusa Tbk PT,2
Bank of China Ltd,UniCredit SpA,2
Cimb Group Holdings Bhd,Bank CIMB Niaga Tbk PT,2
United Overseas Bank Ltd,Bank Rakyat Indonesia (Persero) Tbk PT,2
Malayan Banking Bhd,Bank Rakyat Indonesia (Persero) Tbk PT,2
