source_company,target_company,c_news
Bank of China Ltd,Industrial and Commercial Bank of China Ltd,55
DBS Group Holdings Ltd,Oversea-Chinese Banking Corporation Ltd,41
Oversea-Chinese Banking Corporation Ltd,DBS Group Holdings Ltd,41
Bank of China Ltd,China Construction Bank Corp,37
Bank of China Ltd,Bank of Communications Co Ltd,35
United Overseas Bank Ltd,Oversea-Chinese Banking Corporation Ltd,29
Oversea-Chinese Banking Corporation Ltd,United Overseas Bank Ltd,29
DBS Group Holdings Ltd,United Overseas Bank Ltd,28
United Overseas Bank Ltd,DBS Group Holdings Ltd,28
Bank of China Ltd,Agricultural Bank of China Ltd,21
Bank of China Ltd,HSBC Holdings PLC,13
DBS Group Holdings Ltd,HSBC Holdings PLC,11
Oversea-Chinese Banking Corporation Ltd,HSBC Holdings PLC,11
Oversea-Chinese Banking Corporation Ltd,Societe Generale SA,11
DBS Group Holdings Ltd,Societe Generale SA,11
DBS Group Holdings Ltd,Carnival Corp,9
DBS Group Holdings Ltd,Temasek Holdings (Private) Ltd,9
Bank of China Ltd,Shanghai Pudong Development Bank Co Ltd,8
DBS Group Holdings Ltd,Singapore Airlines Ltd,8
Cimb Group Holdings Bhd,Malayan Banking Bhd,7
Malayan Banking Bhd,Cimb Group Holdings Bhd,7
DBS Group Holdings Ltd,United Continental Holdings Inc,7
DBS Group Holdings Ltd,BlackRock Inc,7
Oversea-Chinese Banking Corporation Ltd,Hin Leong Trading (Pte) Ltd,7
Bank of China Ltd,Standard Chartered PLC,7
Oversea-Chinese Banking Corporation Ltd,Ocean Tankers Pte Ltd,7
DBS Group Holdings Ltd,Alibaba Group Holding Ltd,7
United Overseas Bank Ltd,Malayan Banking Bhd,6
Oversea-Chinese Banking Corporation Ltd,Standard Chartered PLC,6
DBS Group Holdings Ltd,Singapore Telecommunications Ltd,6
United Overseas Bank Ltd,Australia and New Zealand Banking Group Ltd,6
Malayan Banking Bhd,United Overseas Bank Ltd,6
Bank of China Ltd,Wuling Motors Holdings Ltd,6
Oversea-Chinese Banking Corporation Ltd,OCBC Bank (Malaysia) Bhd,6
Oversea-Chinese Banking Corporation Ltd,KS Energy Ltd,6
Bank of China Ltd,Societe Generale SA,6
Bank of China Ltd,Tata Motors Ltd,6
Bank of China Ltd,CME Group Inc,6
Bank of China Ltd,BOC Hong Kong Holdings Ltd,5
DBS Group Holdings Ltd,ABN Amro Bank NV,5
DBS Group Holdings Ltd,Stock Exchange of Thailand,5
Oversea-Chinese Banking Corporation Ltd,Stock Exchange of Thailand,5
DBS Group Holdings Ltd,Bank of China Ltd,5
Bank of China Ltd,Oversea-Chinese Banking Corporation Ltd,5
Oversea-Chinese Banking Corporation Ltd,Bank of China Ltd,5
Bank of China Ltd,DBS Group Holdings Ltd,5
Oversea-Chinese Banking Corporation Ltd,Singapore Telecommunications Ltd,5
DBS Group Holdings Ltd,Standard Chartered PLC,5
Oversea-Chinese Banking Corporation Ltd,ABN Amro Bank NV,5
Oversea-Chinese Banking Corporation Ltd,CAA Resources Ltd,5
Cimb Group Holdings Bhd,,4
Bank of China Ltd,Total SA,4
Malayan Banking Bhd,Agritrade Resources Ltd,4
Bank of China Ltd,Royal Dutch Shell PLC,4
DBS Group Holdings Ltd,Air New Zealand Ltd,4
Malayan Banking Bhd,ING Groep NV,4
Bank of China Ltd,ING Groep NV,4
DBS Group Holdings Ltd,HDFC Bank Ltd,4
United Overseas Bank Ltd,Mitsubishi UFJ Financial Group Inc,4
Malayan Banking Bhd,Mitsubishi UFJ Financial Group Inc,4
DBS Group Holdings Ltd,Axis Bank Ltd,4
Oversea-Chinese Banking Corporation Ltd,Alibaba Group Holding Ltd,4
DBS Group Holdings Ltd,Australia and New Zealand Banking Group Ltd,4
Oversea-Chinese Banking Corporation Ltd,Australia and New Zealand Banking Group Ltd,4
DBS Group Holdings Ltd,Virgin Australia Holdings Ltd,4
Bank of China Ltd,Natixis SA,4
Cimb Group Holdings Bhd,BP PLC,4
DBS Group Holdings Ltd,Mastercard Inc,4
Bank of China Ltd,Credit Suisse Group AG,4
Bank of China Ltd,BOC Aviation Ltd,4
Bank of China Ltd,Credit Agricole Bank PAT,4
DBS Group Holdings Ltd,Sea Ltd,4
Cimb Group Holdings Bhd,Hontop Energy (Singapore) Pte Ltd,4
DBS Group Holdings Ltd,Razer Inc,4
Oversea-Chinese Banking Corporation Ltd,Razer Inc,4
DBS Group Holdings Ltd,,4
DBS Group Holdings Ltd,Qantas Airways Ltd,4
Oversea-Chinese Banking Corporation Ltd,DMCI Holdings Inc,3
Bank of China Ltd,Bank of Gansu Co Ltd,3
Malayan Banking Bhd,Oversea-Chinese Banking Corporation Ltd,3
United Overseas Bank Ltd,Sumitomo Mitsui Financial Group Inc,3
Bank of China Ltd,Amundi SA,3
Oversea-Chinese Banking Corporation Ltd,Internet Thailand PCL,3
Oversea-Chinese Banking Corporation Ltd,Capitaland Mall Trust,3
Oversea-Chinese Banking Corporation Ltd,Max Metal Corporation PCL,3
Oversea-Chinese Banking Corporation Ltd,Royal Orchid Hotel Thailand PCL,3
Oversea-Chinese Banking Corporation Ltd,Bloomberry Resorts Corp,3
DBS Group Holdings Ltd,Schroders PLC,3
Bank of China Ltd,Banco de Sabadell SA,3
Oversea-Chinese Banking Corporation Ltd,Sumitomo Mitsui Financial Group Inc,3
Oversea-Chinese Banking Corporation Ltd,Malayan Banking Bhd,3
Malayan Banking Bhd,Axiata Group Bhd,3
Cimb Group Holdings Bhd,Axiata Group Bhd,3
United Overseas Bank Ltd,ING Groep NV,3
Oversea-Chinese Banking Corporation Ltd,Korea Exchange,3
Bank of China Ltd,AP Moeller - Maersk A/S,3
United Overseas Bank Ltd,National Australia Bank Ltd,3
Bank of China Ltd,Aston Martin Lagonda Global Holdings PLC,3
Oversea-Chinese Banking Corporation Ltd,Sea Ltd,3
Bank of China Ltd,,3
Malayan Banking Bhd,Maybank Islamic Bhd,3
Oversea-Chinese Banking Corporation Ltd,National Australia Bank Ltd,3
United Overseas Bank Ltd,Natixis SA,3
Cimb Group Holdings Bhd,Zhejiang Ant Small & Micro Financial Service Goup Co Ltd,3
DBS Group Holdings Ltd,JPMorgan Chase & Co,3
Oversea-Chinese Banking Corporation Ltd,Commonwealth Bank of Australia,3
DBS Group Holdings Ltd,Commonwealth Bank of Australia,3
DBS Group Holdings Ltd,National Australia Bank Ltd,3
United Overseas Bank Ltd,Commonwealth Bank of Australia,3
United Overseas Bank Ltd,Westpac Banking Corp,3
DBS Group Holdings Ltd,Westpac Banking Corp,3
Oversea-Chinese Banking Corporation Ltd,Mapletree Commercial Trust,3
Oversea-Chinese Banking Corporation Ltd,San Miguel Corp,3
